n,Sgamm,Sbeta,Hepsi,Calph,Cgamm,Cdelt,Hegamm,Halph,Cepsi,Salph,Hbeta,Sepsi,Sdelt,Hdelt,Hgamm,Cbeta,Hebeta,Hedelt,Healph,Heepsi
1295,9.057400024581716,6.045249128770489,15.052885616495134,3.0260283550462144,9.057116830092353,12.062219972866608,9.056289658271908,3.02452034034289,15.060390929828406,3.026122971751606,6.04204757145847,15.06086183241242,12.062597129779771,12.056208791562414,9.052603235457084,6.045060114126612,6.044508028570789,12.061118349840129,3.0257519927744108,15.059015488701204
1296,9.036474158028168,6.031277052830109,15.018134664508432,3.019031759080397,9.036191617820393,12.034362574782191,9.03536635706572,3.01752723111558,15.025622651145024,3.0191261570188828,6.028082895114193,15.026092466607702,12.034738860660816,12.028365276152243,9.031688451219525,6.031088475046136,6.030537665497498,12.033263495926793,3.018756035796378,15.024250385348436
1297,9.015612703641931,6.017348001009284,14.983490598025211,3.01205671596574,9.015330815701796,12.006590892064626,9.014507460130414,3.010555663998613,14.990961311257838,3.012150895811226,6.014161220103944,14.991430042942904,12.00696630958882,12.000607433392853,9.010838045036664,6.017159858739997,6.01661032126934,12.005494349552055,3.0117816297011197,14.989592211025322
1298,8.994815413777593,6.003461807830704,14.948953006417655,3.005103142774257,8.994534176098886,11.978904595292098,8.993712719850938,3.0036055561053305,14.956406499334296,3.0051971051980577,6.00028238103805,14.956874150572624,11.97927914713168,11.9729349340266,8.99005176939424,6.003274099736056,6.002725830429294,11.9778105813242,3.0048286915682207,14.95504055493682
1299,8.974082041933622,5.989618308579535,14.914521480951098,2.998170956961799,8.973801452517842,11.951303356560038,8.972981889755982,2.99667682493272,14.92195780643594,2.998264702632647,5.986446213288909,14.922424380545626,11.951677045374568,11.945347450312324,8.96932937792127,5.98943103332463,5.988884028282717,11.9502118633686,2.9978971388610733,14.920595008181833
1300,8.953412342741922,5.975817339300974,14.880195614770471,2.9912600763628303,8.953132399598239,11.923786849474142,8.952314724507527,2.9897693883561898,14.88761482550485,2.991353605946888,5.97265255298855,14.888080325791249,11.92415967791298,11.917844656018378,8.948670625379604,5.975630495556043,5.975084750894908,11.92269786932076,2.990986889421644,14.886255163739602
1301,8.932806071966091,5.962058736795034,14.845975002894026,2.9843704191932128,8.932526773111313,11.89635474914202,8.931710979899115,2.982883164632361,14.853377151357346,2.9844637333540867,5.958901237023415,14.853841581113151,11.89672671984436,11.890426226414284,8.928075267662189,5.961872323235409,5.961327835085883,11.895268274317958,2.984097861473264,14.85202061646346
1302,8.912262986490274,5.9483423386120045,14.8118592421994,2.9775019040421964,8.911984329948806,11.869006732164133,8.911170412844694,2.9760180723910543,14.819244380670076,2.977595003440947,5.945192103029828,14.819707743175371,11.869377847759065,11.863091838261663,8.907543061781922,5.948156353918099,5.947613118425851,11.867922754990197,2.9772299736126198,14.817890963066892
1303,8.891782844318119,5.934667983049327,14.77784793141702,2.9706544498759038,8.891504828121937,11.84174247662788,8.890692781377577,2.969174030638774,14.785216111973392,2.9707473351710574,5.931524989390868,14.785678410495706,11.842112739734423,11.835841169808347,8.88707376587061,5.9344824259066105,5.9339404392320745,11.840660989454271,2.970383144813232,14.783865802116912
1304,8.871365404563367,5.921035509147061,14.743940671117556,2.963827976030707,8.871088026751977,11.814561662097493,8.870277844641041,2.962350958752093,14.751291945638812,2.96392064787827,5.9178997352318365,14.751753183433175,11.81493107532465,11.808673900778247,8.866667139169573,5.920850378246033,5.920309636564346,11.81348265730368,2.963557294418843,14.749944734021533
1305,8.85101042744638,5.907444756685098,14.71013706370461,2.9570224022153258,8.850733686066784,11.787463969608105,8.849925362884838,2.955548776479743,14.7174714838717,2.957114861268791,5.904316180417479,14.717931664180709,11.787832535554909,11.78158971236546,8.846322942026154,5.907260050721269,5.9067205502221976,11.78638743960269,2.956752342145503,14.716127361022451
1306,8.830717674286115,5.893895566177588,14.676436713402191,2.950237648505944,8.830441567392779,11.760449081656374,8.829635097457187,2.9487674039377363,14.683754330698733,2.9503298954163064,5.890774165546411,14.6842134567526,11.760816802911917,11.754588287224868,8.826040935885718,5.893711283851457,5.893173020739334,11.75937501887695,2.949968208076695,14.68241328718251
1307,8.810486907495612,5.880387778869809,14.64283922624706,2.943473635345513,8.81021143315043,11.733516682192787,8.809406810800255,2.942006761608674,14.65014009196023,2.9435656707612816,5.877273531947983,14.650598166976849,11.733883561336294,11.727669309464458,8.805820883287131,5.880203918886836,5.879666889380492,11.732445079105814,2.943204812662639,14.648802118378024
1308,8.790317890575011,5.8669212367343295,14.60934421007861,2.9367302835413223,8.790043046847273,11.706666456614716,8.789240266443175,2.9352667703393087,14.61662837530007,2.9368221081085277,5.863814121678457,14.61708540248506,11.707032496215566,11.700832464638388,8.785662547855784,5.866737797804916,5.866201998137616,11.705597305715386,2.936462076717853,14.615293462288708
1309,8.770210388107039,5.853495782466484,14.575951274527757,2.930007514263594,8.769936173073395,11.679898091758748,8.769135228997532,2.928547351339148,14.583218790154524,2.9300991286258022,5.850395777516475,14.583674772701292,11.680263294376532,11.6740774397393,8.765565694299077,5.853312763305951,5.8527781897253215,11.678831385570854,2.929739921419762,14.581886928386496
1310,8.75016416575073,5.840111259481237,14.542660031009946,2.923305249042357,8.749890577495155,11.65321127589093,8.749091464151093,2.921848426177327,14.5499109477453,2.923396653840682,5.837018342959929,14.5503658888351,11.653575644075492,11.647403923188609,8.745530088400153,5.8399286588098,5.839395307577771,11.652147006966734,2.92303826830556,14.548582127928608
1311,8.730178990234808,5.826767511910048,14.509470092714048,2.9166234097674435,8.729906026848575,11.626605698702944,8.729108738661175,2.9151699167826024,14.516704461068391,2.9167146056405557,5.823681662222827,14.51715836387038,11.62696923499442,11.62081160483262,8.72555549701128,5.826585328452798,5.826053195845533,11.625543859623049,2.916357039272212,14.51537867394638
1312,8.710254629353864,5.813464384594254,14.47638107459257,2.909961918685354,8.7099822889355,11.60008105130095,8.709186820350837,2.9085117454402245,14.48359894488434,2.9100529062694926,5.810385580228677,14.484051812555618,11.600443758229826,11.594300175931444,8.705641688050017,5.81328261708113,5.812751699388963,11.599021634674171,2.909696156573321,14.482276181235536
1313,8.690390851960332,5.800201723084371,14.44339259335264,2.903320698395776,8.690119132615596,11.573637026198984,8.68932547810085,2.9018738347884523,14.45059401570915,2.903411478324761,5.797129942609793,14.451045851394838,11.573998906286128,11.567869329152346,8.685788430491218,5.800020370250146,5.799490663777516,11.572580024662216,2.903055542815643,14.449274266347109
1314,8.670587427961365,5.786979373635572,14.410504267449022,2.8966996718543694,8.670316327803208,11.547273317313373,8.669524481846572,2.89525610782134,14.417689291807353,2.8967902447596106,5.7839145957027664,14.418140098640633,11.547634373070077,11.541518758564187,8.665995494363893,5.78679843421982,5.786269935285207,11.546218723531464,2.8964351209618733,14.416372547580488
1315,8.650844128310466,5.773797183201754,14.377715717070195,2.890098762365451,8.650573645459003,11.520989619952983,8.649783602569592,2.8886584878814263,14.38488439317806,2.890189128875961,5.7707393865425525,14.385334174280224,11.52134985388102,11.51524815962768,8.646262650742848,5.773616655948839,5.7730893608847,11.519937426618611,2.889834814323334,14.383570644969486
1316,8.631160725005058,5.760654999434505,14.345026564133144,2.8835178935833885,8.630890857587532,11.494785630812608,8.630102612295278,2.8820808986611266,14.352178941549736,2.883608054325793,5.757604162861421,14.35262770003026,11.495145045404264,11.48905722918877,8.626589671746254,5.760474883093553,5.759948788246258,11.493735830646152,2.883254546561366,14.350868180277123
1317,8.61153699107847,5.747552670679266,14.31243643227254,2.8769569895101643,8.61126773722922,11.468661047966345,8.610481284084786,2.875523264200295,14.319572560369403,2.877046945108712,5.744508773085129,14.320020299325988,11.469019645704469,11.462945665472017,8.606976330527644,5.747372964004144,5.7468480657339125,11.467613633715755,2.876694241684892,14.318264776984812
1318,8.591972700595754,5.734490045969759,14.279944946832416,2.87041597449398,8.59170405845618,11.44261557085924,8.590919392030864,2.8689855088848337,14.287064874794298,2.870505725570554,5.731453066327349,14.287511597312912,11.442973354217274,11.436913168072245,8.587422401271722,5.734310747719055,5.733787042399895,11.44157053529992,2.870153824049021,14.28576006028401
1319,8.57246762864672,5.7214669750252005,14.24755173485501,2.8638947732250752,8.57219959636526,11.416648900300318,8.571416711250897,2.862467557442515,14.254655511680694,2.863984320399205,5.718436892386888,14.255101220835652,11.41700587174236,11.410959437947584,8.567927659187411,5.721288083962201,5.720765567981844,11.41560623623499,2.863633218350873,14.253353657065082
1320,8.553021551343154,5.708483308247516,14.215256425074497,2.857393310737126,8.552754127075243,11.39076073845562,8.551973017884116,2.855969334944372,14.222344099577658,2.857482654625996,5.705460101744896,14.222788798431653,11.391116900436446,11.385084177412496,8.548491880505068,5.708304823140185,5.707783492900024,11.389720438714209,2.85713234963097,14.221045195911016
1321,8.53363424581045,5.695538896717158,14.183058647907249,2.8509115124030595,8.533367427718492,11.364950788840533,8.532588089083239,2.849490766800524,14.190130268717285,2.8510006536215204,5.692522545560696,14.190573960321451,11.365306143805656,11.359287090130124,8.529114842468124,5.695360816338117,5.694840668253146,11.363912846280044,2.8506511432690544,14.188834307087676
1322,8.514305490184135,5.68263359218893,14.150958035441729,2.8444493039350576,8.514039276437472,11.339218756314226,8.513261703010992,2.843031778760172,14.158013651004609,2.8445382430956383,5.6796240756676,14.158456338398569,11.339573306699933,11.333567881106722,8.509796323329601,5.682455915315432,5.681936945814185,11.338183163818622,2.844189524984092,14.15672062253371
1323,8.495035063604293,5.669767247088497,14.118954221430842,2.8380066113803752,8.494769452379169,11.31356434706955,8.49399363883453,2.836592296907427,14.12599388000992,2.838095349093292,5.666764544569428,14.126435566221838,11.31391809530293,11.307926256681554,8.49053610234655,5.669589972502414,5.669072178026899,11.312531097549618,2.837747420830093,14.12470377585288
1324,8.475822746209637,5.656939714511,14.087046841282888,2.8315833611220387,8.475557735689174,11.287987268629545,8.474783676719525,2.8301722476620013,14.094070590959726,2.831671897995206,5.653943805439123,14.094511279006367,11.288340217128546,11.282361924523416,8.471333959774126,5.656762840998793,5.656246218004436,11.286956355022786,2.831324757196806,14.092783402305006
1325,8.45666831913334,5.644150848214431,14.055235532053535,2.825179479876754,8.456403907507504,11.262487229837689,8.45563159782598,2.8237715577771216,14.062243420728745,2.8252678165157947,5.641161712112126,14.062683113615511,11.262839381011164,11.256874593620887,8.452189676861414,5.643974374567136,5.643458919522718,11.2614586451082,2.8249214608076305,14.060959138797964
1326,8.437571564495368,5.631400502617546,14.023519932434692,2.818794894690381,8.437307749960933,11.237063940851987,8.436537184300569,2.817390154335004,14.03051200782873,2.818883031698636,5.628418119084293,14.030950708549732,11.23741529709972,11.231463974276414,8.433103035843766,5.631224427630749,5.630710137018349,11.236037677990334,2.818537458715088,14.029230623876533
1327,8.418532265401083,5.618688532796733,13.991899682749294,2.812429532940368,8.418269046161607,11.211717113138349,8.417500219275245,2.8110279647492886,13.998875992403285,2.81251747091891,5.615712881508761,13.999313703941372,11.212067676851095,11.20612977809969,8.41407381994141,5.618512855270552,5.617999725585482,11.210693165161445,2.812172678303261,13.99759749771717
1328,8.399550205932186,5.6060147944821725,13.960374424940488,2.806083322330184,8.399287580197981,11.186446459462916,8.398520486858184,2.8046849167594727,13.967335016217032,2.8061710618778224,5.6030458551921205,13.967771741543856,11.186796233022465,11.180871718000006,8.3951018133504,5.605839513221238,5.6053275409719845,11.185424819413909,2.80582704728222,13.966059402117224
1329,8.38062517114464,5.5933791440543645,13.9289438025633,2.799756190891055,8.380363137132733,11.161251693886848,8.379597772131689,2.798360938432648,13.935888722647276,2.79984373260435,5.590416896590929,13.936324464723336,11.161600679666034,11.155689508181016,8.376186801240532,5.5932042578677965,5.592693439575963,11.160232354835005,2.7995004936897643,13.93461598048656
1330,8.361756947061684,5.580781438540289,13.897607460777314,2.793448066976742,8.361495502995794,11.136132531756225,8.360731861145238,2.7920559581582807,13.90453675667668,2.7935354114500144,5.5778258628078845,13.90497151845137,11.136480732118986,11.130582864130654,8.357328569748368,5.580606946241677,5.580097278441924,11.135115486796796,2.7931929458861986,13.903266877840268
1331,8.34294532066897,5.568221535611669,13.86636504633692,2.7871588792649358,8.342684464779481,11.111088689699937,8.341922540910598,2.785769904649604,13.8732787648835,2.787246027090275,5.565272611590087,13.873712549295178,11.111436107001357,11.105551502619033,8.338526905972373,5.568047436019053,5.56753891525904,11.11007393195407,2.786904332555726,13.872011740788889
1332,8.324190079911082,5.555699293578696,13.835216207583668,2.780888556754117,8.323929810435,11.086119885618563,8.323169599398343,2.7795027069404834,13.842114395433956,2.780975508521394,5.552757001322768,13.842547205409964,11.086466522204905,11.080595141687317,8.31978159796943,5.555525585514546,5.5550182083548725,11.085107408233162,2.7806345827033137,13.840850217530765
1333,8.30549101368351,5.543214571389687,13.804160594437894,2.7746370287604285,8.30523132886445,11.06122583867984,8.304472825529848,2.7732542943822853,13.811043298073836,2.774723785057302,5.540278891028946,13.811475136530571,11.06157169688857,11.055713500643185,8.301092434746833,5.543041253680884,5.542535016695029,11.060215634827449,2.7743836256515584,13.809781957843674
1334,8.286847911831268,5.530767228626207,13.773197858390734,2.768404224920455,8.28658880991941,11.036406269313408,8.28583200917589,2.7670245966466607,13.78006512412051,2.7684907863323853,5.5278381403645485,13.780495993963468,11.03675135147327,11.030906300055609,8.282459206260897,5.53059430010402,5.530089199878289,11.035398332192116,2.7681513910434714,13.778806613076837
1335,8.268260565140885,5.518357125498882,13.742327652494362,2.7621900751835646,8.268002044392952,11.011660899200056,8.267246941148645,2.760813543717888,13.749179526453164,2.762276442293821,5.515434609614237,13.749609430576983,11.012005207631082,11.006173261744074,8.263881703408947,5.518184584998955,5.517680618132419,11.010655222033362,2.7619378088348183,13.747923836141132
1336,8.249728765337261,5.505984122847064,13.711549631356773,2.75599450981539,8.249470824016491,10.9869894512696,8.248717413198545,2.754621065896349,13.71838615950758,2.7560806832050613,5.50306815969106,13.718815100796094,10.987332988283162,10.981514108776476,8.245359718026187,5.505811969209389,5.505309132313826,10.985986027306314,2.7557428092976006,13.717133281503909
1337,8.231252305078101,5.4936480821322,13.68086345113133,2.749817459393998,8.230994941454208,10.962391649692188,8.230243218008713,2.7484470937947103,13.687684679265685,2.7499034396420026,5.490738652129837,13.688112660591976,10.962734417591031,10.95692856546042,8.226893042880125,5.4934763142011,5.492974603900944,10.961390472206308,2.749566323016225,13.686434605178512
1338,8.21283097794903,5.481348865436098,13.65026876950808,2.743658854807102,8.21257419029819,10.937867219871688,8.211824149190083,2.742291558335126,13.657074743246849,2.743744642490197,5.478445949085415,13.657501767473288,10.938209220949972,10.93241635733662,8.20848147166571,5.48117748206021,5.480676894992487,10.936868282162289,2.743408280884718,13.655827464715587
